Monsoon_Intensity,Topography_Drainage,River_Management,Deforestation,Urbanization,Climate_Change,Dams_Quality,Siltation,Agricultural_Practices,Encroachments,Ineffective_Disaster_Preparedness,Drainage_Systems,Coastal_Vulnerability,Landslides,Watersheds,Deteriorating_Infrastructure,Population_Score,Wetland_Loss,Inadequate_Planning,Political_Factors,Flood_Probability,Annual_Rainfall,Seasonal_Rainfall,Temperature,Humidity,Cloud_Visibility,Flood
,4,4,2,10,6,7,5,7,5,2,0,4,3,3,5,4,12,7,5,0.5,2095.5,1234.8,30,86.7,7.7,1
5,8,3,5,6,5,2,3,5,0,8,6,7,3,8,7,5,6,3,3,0.49,2094.9,1175.9,27.3,75.8,8,0
5,3,9,7,4,2,11,6,3,4,7,5,8,4,5,5,3,3,4,6,0.52,1950.8,1134.2,23.7,68.9,7.9,1
2,7,6,2,5,3,5,6,3,4,5,5,5,6,10,2,5,5,4,3,0.465,1341.7,761.9,25.5,57.9,9.3,0
4,7,6,6,3,1,3,5,4,1,1,6,11,4,5,5,9,8,7,3,0.495,1691.6,992.9,22.6,78.2,9,0
5,3,3,4,6,2,3,8,8,5,3,6,1,9,2,8,6,3,5,3,0.465,1993.4,1228.8,24.2,66.8,7.9,0
6,5,4,5,3,5,4,8,3,7,8,6,6,7,7,6,4,6,2,6,0.54,2293.3,1348,27,76.7,8,1
9,4,5,7,4,9,8,7,6,8,4,0,4,4,2,6,5,6,6,7,0.555,3120.6,1811.5,30,86.5,5.6,1
2,3,4,5,7,5,5,7,3,1,5,7,3,4,8,7,5,7,8,4,0.5,1451.7,853.8,27.8,60.2,8.9,1
3,6,4,7,1,4,7,3,3,6,4,7,3,9,5,9,2,2,6,5,0.48,1635.3,971.1,26.8,56.2,8.7,0
6,6,6,3,6,6,8,3,6,5,5,5,3,4,2,1,8,3,2,2,0.45,2299.3,1349.7,26.8,75.3,6.7,0
5,6,4,4,3,7,6,2,4,3,5,3,5,7,5,4,7,6,7,9,0.51,2121.4,1224.8,28.2,73.1,7.3,1
1,5,7,7,3,9,5,7,5,1,6,5,2,1,7,4,3,6,8,2,0.47,1336.9,780.2,31.1,58.9,8.5,0
,6,3,7,2,5,7,3,5,2,5,7,5,10,3,4,4,5,3,4,0.47,1842.8,1085.1,25.9,73.3,7.7,0
6,4,8,6,4,8,5,5,7,4,6,5,7,7,5,6,8,2,7,7,0.585,2447.8,1475.6,28.9,78.1,6.6,1
4,7,9,7,7,3,3,5,11,6,10,7,5,2,8,4,8,4,6,6,0.61,1784,1044.5,26.3,70.1,8.7,1
7,9,7,3,5,,2,6,6,3,4,2,8,9,3,4,2,6,2,8,0.5,2513.4,1439.5,26.1,78.5,6.3,1
7,4,2,5,3,5,5,9,4,4,4,3,5,6,2,3,8,5,5,6,0.475,2505.7,1438.7,25.7,80.5,6.6,0
9,5,3,4,4,7,4,4,6,8,4,4,5,7,6,7,3,7,4,2,0.515,3029.1,1737.3,28.4,89.1,4.8,1
8,6,5,5,7,4,5,3,6,7,4,8,6,5,6,2,6,5,3,5,0.53,2708.7,1588.5,26,79.2,6.2,1
4,4,8,4,6,10,7,4,4,6,4,4,8,4,2,4,6,2,3,4,0.49,1968,1123.4,32.4,65.6,7.1,0
5,10,3,6,6,7,2,3,5,3,7,4,5,2,2,7,7,2,6,8,0.5,2191.7,1280.2,28.5,69.2,8.3,1
3,5,6,9,5,5,2,4,5,2,4,6,7,8,6,4,8,6,1,4,0.5,1612,1004.5,26.7,65,8.2,1
4,2,4,3,4,4,3,5,5,5,5,3,4,5,5,5,7,3,7,2,0.425,1790.5,1008.8,26.8,66,7.9,0
4,1,5,6,4,7,1,5,7,1,8,5,4,5,5,10,5,9,10,6,0.54,1880.8,1113.2,28.4,78.1,7.3,1
3,6,2,6,1,7,2,3,7,9,2,2,6,5,2,6,8,12,4,11,0.52,1682.3,986.7,29.1,77.5,8.4,1
6,7,4,2,3,5,6,3,4,4,5,10,5,2,5,2,1,2,5,1,0.41,2257.3,1286.6,28.5,74.1,7.2,0
3,6,11,6,2,5,4,4,6,4,4,5,3,8,5,3,7,8,6,4,0.52,1598.1,944.2,28.2,65,8.3,1
6,0,4,3,3,1,3,7,3,6,7,6,5,14,3,6,9,7,2,4,0.495,2188.1,1235.7,22.2,84.6,8.2,0
7,8,5,0,7,2,3,2,8,6,5,3,8,5,5,3,8,2,6,8,0.505,2389.4,1377.7,24,71.6,7.3,1
7,7,3,4,6,6,,7,6,6,1,6,4,5,4,7,7,5,4,5,0.51,2547.1,1489.2,27.9,78.4,6.2,1
5,4,8,7,3,0,9,8,9,2,9,3,5,4,2,5,6,2,4,7,0.51,1891.5,1091.6,21.5,66.4,7.5,1
3,5,4,6,6,5,9,5,4,6,4,7,3,2,8,7,5,4,6,6,0.525,1691.7,941,27.6,64.6,8.1,1
3,3,2,9,2,5,4,8,5,5,2,6,2,4,4,7,2,5,10,10,0.49,1639.9,979.6,25.9,62.1,8.3,0
6,3,2,2,3,6,6,6,,4,3,1,9,5,5,9,1,3,4,3,0.425,2367.9,1372.2,28,68.9,6.8,0
4,5,6,4,3,8,4,5,5,4,3,2,5,9,4,1,7,5,4,0,0.44,1899.9,1109.2,29.1,68,7.1,0
7,8,5,5,6,6,2,8,6,5,3,2,2,7,2,6,6,7,8,3,0.52,2526.8,1401.5,28.1,79.2,7,1
5,6,7,8,2,2,2,1,4,,3,5,5,4,6,3,4,5,5,3,0.41,1967,1130.5,23.6,72.1,8.5,0
2,6,4,6,7,6,3,3,9,4,10,7,4,3,3,10,6,6,3,4,0.53,1455,869.3,30.3,67.8,8.7,1
,7,6,2,6,3,7,3,6,5,5,0,5,5,3,5,4,6,5,5,0.455,1536.6,931.3,25.5,66.2,8.5,0
6,4,6,3,4,7,7,3,5,6,6,3,7,4,6,7,4,5,6,6,0.525,2307,1362.5,29.1,71,6.3,1
6,5,8,2,6,7,2,7,10,7,8,6,2,5,8,4,7,2,4,7,0.565,2386.4,1373,28.1,74.8,6.3,1
4,3,6,9,5,10,2,5,3,7,10,5,5,5,5,3,2,8,6,1,0.52,2022.3,1168.6,33.6,69.8,7.7,1
3,3,6,8,3,7,5,1,10,8,8,9,5,4,7,6,3,7,6,12,0.605,1769.4,981.6,28.8,68.5,7.1,1
4,1,4,3,5,,5,8,3,9,5,5,4,5,8,2,7,8,3,2,0.485,1961.9,1128.1,27.1,76.9,6.9,0
6,4,3,10,8,5,3,3,4,6,3,5,7,2,7,5,4,4,4,2,0.475,2315.7,1346,27.7,74.5,6.8,0
4,11,2,6,4,5,4,5,5,4,7,6,3,5,5,8,3,4,2,6,0.495,1863.2,1074.5,25.9,68.7,8.3,0
4,8,9,7,3,3,7,3,7,6,4,6,6,6,5,3,7,5,5,4,0.54,1816.3,1035.6,26.5,67.9,8.3,1
4,5,3,5,5,7,8,6,5,5,6,7,5,6,6,2,5,3,4,2,0.495,1902,1099.3,29.6,74.1,7.2,0
10,5,5,6,3,5,5,6,3,3,7,9,2,5,2,8,5,4,8,3,0.52,3150.8,1826.4,25.2,85.9,5.7,1
5,5,7,5,9,3,6,3,3,3,7,2,7,2,3,4,6,3,7,3,0.465,1984.9,1149.5,27.3,73.3,7.4,0
4,4,11,4,5,6,5,5,6,4,9,8,9,1,8,5,8,6,3,2,0.565,1893.9,1089.1,28.6,67.8,7.5,1
5,4,6,2,9,3,5,5,7,5,4,7,2,7,2,8,2,2,8,7,0.5,2012,1190.6,27.4,68.6,8.1,1
6,5,4,6,5,2,4,6,5,1,5,6,6,3,6,6,3,4,6,4,0.465,2212.5,1283.7,25.3,74.4,6.6,0
2,8,6,6,4,3,5,3,5,10,6,6,2,2,6,5,5,7,9,8,0.54,1369.3,809,24.6,58.3,8.7,1
7,4,7,5,3,5,8,4,4,4,3,7,8,4,4,1,6,5,2,10,0.505,2441.8,1438.2,26.6,81.5,6.7,1
3,5,,2,4,8,2,4,3,7,4,7,6,5,5,4,3,3,4,9,0.475,1733.3,972.8,30.2,60.7,8.1,0
5,2,3,5,5,5,8,8,7,4,6,6,1,7,3,8,8,8,5,7,0.555,2117.3,1246.4,26.9,79.4,7.8,1
4,4,9,1,8,8,7,6,2,9,3,9,6,7,4,2,3,6,2,3,0.515,1907.8,1148.3,31.4,71.7,8,1
7,2,4,6,2,4,6,4,3,5,6,6,8,6,2,3,5,5,5,5,0.47,2435.2,1431.9,25.9,78.9,7.6,0
5,6,1,6,3,3,10,1,8,3,4,5,7,4,5,4,4,8,5,2,0.47,1996.9,1172,26.8,78.8,7.5,0
4,6,7,8,7,6,5,5,7,2,6,9,10,8,9,2,4,6,4,7,0.61,1840.1,1039.3,28.3,70.8,7.1,1
2,,3,9,5,3,7,4,8,3,8,5,10,4,3,1,6,4,3,5,0.49,1295.6,771.5,25.6,60.1,9.6,0
5,4,6,4,3,10,6,4,4,3,5,6,2,9,7,4,3,2,8,4,0.495,2207.6,1291.2,32,67.7,6.7,0
6,9,7,5,7,7,5,2,4,6,10,4,3,5,7,4,3,3,6,4,0.535,2367.2,1413.2,29.4,73.1,7.2,1
6,3,4,8,6,2,3,6,4,4,4,5,6,3,4,2,6,1,9,6,0.46,2182.3,1278.3,23.4,72.7,7.9,0
3,12,4,6,4,0,3,8,7,9,5,6,7,3,5,7,4,8,6,6,0.565,1484.4,876,22.1,73.5,10,1
3,1,7,5,8,3,6,15,5,10,5,5,4,7,5,3,5,6,7,1,0.555,1506,897.2,25.6,61.3,8.5,1
4,4,2,5,0,2,1,5,4,4,4,4,7,6,2,5,5,4,12,2,0.41,1739.9,1003.1,23.3,71.8,8.6,0
4,5,6,5,9,5,7,2,2,3,2,7,4,3,9,6,4,7,4,6,0.5,1781.2,1055.8,28.3,69.7,8.3,1
1,6,8,7,5,3,6,6,3,0,6,3,2,5,4,8,8,6,6,1,0.47,1125,670.8,26,62.2,9.3,0
6,6,7,2,4,,9,7,8,4,5,7,0,8,5,9,3,2,4,6,0.52,2158.1,1239.5,24.3,69.1,7.2,1
2,3,8,4,4,4,14,8,3,5,3,3,3,8,10,2,10,1,7,8,0.55,1381.1,833.3,26.8,57.8,8.3,1
6,2,3,,6,5,4,6,6,5,6,2,3,6,3,4,4,4,6,5,0.44,2343.6,1362.7,27.3,78.1,6.7,0
5,5,5,6,9,3,4,4,4,9,4,7,6,8,5,6,4,6,8,8,0.58,2064.3,1191,26.8,76.6,7.8,1
6,5,5,8,1,8,4,6,5,5,5,9,10,10,7,6,1,2,2,1,0.53,2328,1315.9,28.8,69.4,6.6,1
,6,6,4,10,4,7,5,4,9,4,2,6,6,5,5,9,3,5,6,0.555,2006.3,1178.8,29.7,69.7,7.7,1
6,6,2,6,3,5,4,,8,6,6,4,8,6,3,2,7,5,3,1,0.465,2307.4,1339.2,25.7,74.9,7.5,0
3,6,7,4,3,5,5,2,7,5,8,4,7,6,4,6,6,6,5,5,0.52,1600.2,836.2,27.2,65.5,8.2,1
7,5,4,7,4,3,4,4,3,6,10,8,4,3,5,6,6,4,6,3,0.51,2472.3,1428.9,24.5,84.3,6.7,1
5,6,4,6,5,5,2,3,6,3,10,3,6,6,5,5,1,3,4,5,0.465,2078.7,1206.4,27.1,72,7.8,0
4,3,3,4,8,6,3,3,4,4,6,7,3,8,3,5,7,8,9,2,0.5,1903.4,1093.3,28.5,77.8,7.7,1
3,2,4,6,4,5,11,3,3,3,3,8,8,4,5,8,5,3,8,6,0.51,1632,993.9,27.8,60,8.5,1
4,1,2,3,3,3,8,2,3,7,7,4,4,5,3,5,4,3,5,6,0.41,1850.9,1052.5,24.5,66.8,8.1,0
4,5,10,4,2,2,5,2,6,5,5,11,5,1,6,4,2,7,5,4,0.475,1797.8,1003.3,24.7,70.8,8.8,0
3,7,3,6,4,4,7,9,6,4,4,9,4,4,4,3,4,6,10,5,0.53,1596,949.4,27.2,68.8,8.3,1
8,6,3,6,3,6,7,5,6,7,11,8,1,6,3,9,5,5,1,5,0.555,2776.8,1635.7,26.6,82.5,5.7,1
9,3,2,7,7,5,7,8,5,3,4,4,5,10,6,6,3,8,5,2,0.545,2915.3,1714.3,28.3,89.2,5.1,1
4,4,7,8,6,2,7,7,4,8,2,3,1,7,7,7,4,6,5,4,0.515,1724.6,1009.8,24.9,73.9,8.2,1
7,7,5,5,4,7,4,6,7,4,5,1,9,4,7,7,7,4,2,4,0.53,2587,1505.6,28.5,81.3,5.4,1
6,8,2,7,3,5,11,2,3,10,6,1,5,6,6,8,3,4,3,5,0.52,2295.2,1315.7,26.8,78.5,7.5,1
5,2,5,8,3,5,5,4,4,1,1,5,7,2,3,6,3,6,8,2,0.425,2024.9,1175.2,27,71.1,6.7,0
3,1,7,6,4,7,4,7,4,8,0,2,4,2,7,4,5,2,3,4,0.42,1686.3,981.2,29.4,57.2,7.8,0
5,6,0,11,2,5,3,9,9,6,5,6,7,7,4,6,5,7,4,7,0.57,2043.7,1190.6,26.9,75.3,7.9,1
5,3,5,2,5,8,7,7,3,4,2,3,6,4,4,2,8,6,2,6,0.46,2167.5,1300.8,30,75.7,7,0
5,2,2,5,4,5,6,6,4,3,5,4,4,3,7,5,7,5,2,5,0.445,2025.5,1220.9,26.8,72.5,7.6,0
5,3,6,,4,10,5,4,,3,6,3,6,7,5,8,7,6,8,10,0.6,2311,1365.3,32.1,74.5,6.1,1
5,5,7,7,5,5,5,4,3,2,10,7,4,4,4,3,3,4,3,3,0.465,1987.9,1164.8,26.2,65.6,7.4,0
5,0,1,2,3,4,,2,3,6,11,4,7,3,3,4,4,3,6,4,0.405,2061.3,1168.3,25.3,72.4,8.2,0
5,4,5,12,4,2,5,9,3,8,2,4,3,9,4,5,1,5,6,6,0.51,2018.6,1163.8,25.2,75.6,8,1
8,6,3,5,5,4,8,1,3,2,9,3,4,3,4,5,3,6,5,3,0.45,2790.3,1588.6,24.9,86.6,6.4,0
4,3,4,7,5,4,4,5,6,4,4,6,7,2,5,5,5,6,11,4,0.505,1819.2,1073.2,27.5,68.8,7.4,1
5,4,7,8,7,4,3,5,6,3,4,4,4,8,3,2,6,6,10,2,0.505,2010.6,1164.6,26.5,75.6,7.2,1
3,4,2,,2,2,4,8,6,8,7,5,6,2,3,5,6,7,3,6,0.46,1541.9,882.9,24.2,66.2,8.8,0
4,4,7,3,6,2,8,5,8,5,7,4,4,7,8,3,3,3,8,9,0.54,1795.3,1035.3,25.5,70.3,8,1
3,4,,4,5,1,1,4,8,4,3,7,4,3,8,4,4,10,7,7,0.485,1484.9,843.1,22.5,71.5,8.7,0
7,4,4,5,4,1,5,3,9,10,6,6,3,4,5,5,2,9,4,5,0.505,2382.8,1363.2,23.5,86.3,7.5,1
5,5,3,3,3,5,3,3,3,2,5,2,4,10,4,2,1,7,6,4,0.4,2080.9,1206.1,26.6,76.5,7.1,0
5,3,3,1,1,,5,5,7,6,3,5,8,5,3,2,7,6,4,1,0.42,2015.2,1162.6,25.6,79.7,7.5,0
7,2,8,4,5,3,2,8,6,8,3,3,4,3,1,5,4,4,4,5,0.445,2512.9,1438.5,25.1,81.8,6.3,0
7,6,,1,5,7,0,2,10,12,9,8,10,9,5,8,5,5,4,7,0.655,2582.6,1536.9,27.7,78.8,6.3,1
2,8,3,3,4,,6,3,4,5,6,10,4,6,2,6,7,5,3,4,0.48,1475.1,843.9,28.1,63,9.2,0
5,3,7,7,5,4,1,4,4,5,3,4,2,3,5,5,8,4,4,6,0.445,2065.5,1250.3,25.6,74.6,7.9,0
1,6,7,6,3,0,9,6,4,4,5,5,2,6,6,4,2,2,8,5,0.455,1027.9,582.3,23.4,52.7,9.9,0
1,6,4,1,4,4,3,4,4,5,6,9,5,4,0,3,6,2,1,7,0.395,1100.1,688,46.8,55.7,9.9,0
3,6,4,7,7,8,5,3,6,5,3,1,5,4,4,6,7,9,6,2,0.505,1739.9,1027.7,31.3,74.7,8.1,1
2,4,2,7,4,3,5,5,4,9,6,1,5,6,10,4,7,10,3,5,0.51,1288.1,794.9,24.1,65.6,9,1
9,8,9,5,5,3,6,,8,1,3,6,3,8,7,6,7,6,4,2,0.555,2894.4,1646.3,25,95.3,6.1,1
5,7,4,7,7,2,9,4,6,7,7,5,7,3,9,2,3,6,3,2,0.525,2022.4,1179.1,24.7,76.9,8.3,1
6,2,6,4,3,0,6,5,6,8,3,2,3,5,5,6,5,7,7,2,0.455,2159,1236.5,22.7,79.8,7,0
3,7,5,6,6,5,6,4,,2,5,3,3,3,7,3,2,6,8,7,0.475,1593.8,939.6,28.6,62.8,7.9,0
10,4,2,5,5,2,4,8,5,9,4,4,10,8,5,11,3,5,4,4,0.56,3143.3,1818.6,24.7,91.1,5.5,1
5,9,4,4,5,6,2,7,5,6,3,3,4,10,3,5,2,8,4,3,0.49,2023.9,1180,27.8,72.7,7.3,0
5,8,5,4,2,5,2,8,6,5,3,0,6,6,4,6,3,5,7,6,0.48,2055.7,1164.9,26.2,75.5,8,0
8,6,2,5,7,4,7,0,5,9,5,6,3,4,6,5,6,6,8,8,0.55,2684.4,1567.4,25.5,89.6,5.6,1
5,5,4,9,6,7,11,4,4,9,6,7,6,10,4,15,8,6,3,4,0.665,2190.6,1266.7,28.7,74.5,6.7,1
5,0,5,8,12,8,1,5,11,5,5,4,1,5,3,6,8,6,4,4,0.53,2107.1,1188.7,32,71.8,6.4,1
3,5,8,5,2,5,2,5,7,8,5,4,1,3,3,8,6,3,9,3,0.475,1666,968.6,25.6,63.6,9.4,0
5,4,2,3,7,3,3,1,4,3,4,2,5,6,1,4,2,4,6,7,0.38,2003.6,1152.3,26.4,79.3,7.6,0
3,2,6,8,5,5,5,2,6,3,5,5,8,6,7,2,4,1,4,5,0.46,1678.9,978.9,27.4,59.6,7.6,0
6,9,6,6,2,6,5,4,3,3,9,4,3,3,2,4,7,4,7,4,0.485,2356.9,1377.3,27.5,69.6,7.6,0
6,5,10,5,4,8,3,2,8,5,3,6,6,8,3,5,4,7,5,3,0.53,2399.6,1371.5,29,83.5,6.2,1
3,8,4,6,6,6,6,3,7,5,3,10,2,5,7,3,2,4,7,8,0.525,1631.2,941.1,30.4,67.8,7.8,1
8,9,6,6,6,4,6,4,1,1,5,4,4,6,2,6,7,9,3,4,0.505,2699,1555.4,25,90.5,5.6,1
4,10,6,5,8,2,2,5,5,5,6,3,2,5,3,4,7,7,5,3,0.485,1792,1042.2,25.5,73.2,8.2,0
5,5,6,7,3,5,3,2,3,6,5,0,6,4,3,2,2,4,8,5,0.42,2027.7,1169.8,26.1,74.8,7.1,0
7,1,8,4,4,5,0,6,14,10,4,3,4,5,6,5,2,7,4,7,0.53,2489.5,1476.2,27.3,81.3,6.2,1
5,5,8,3,6,2,11,10,2,6,4,6,6,2,4,2,7,6,5,9,0.545,1971.7,1140.9,24.7,68.5,8,1
6,3,7,4,5,4,4,1,1,5,6,7,5,1,6,5,6,10,2,3,0.455,2352.5,1363.4,26.8,83.6,6.8,0
5,5,4,5,2,5,2,6,2,6,2,5,2,4,7,7,2,3,3,5,0.41,1995.1,1142.9,25.9,66.9,7.5,0
6,7,3,3,1,7,3,3,6,9,4,6,2,1,5,7,10,6,6,6,0.505,2388,1400.2,27.3,81.2,6.8,1
4,5,3,3,2,5,2,4,5,4,7,5,3,3,2,7,6,5,2,7,0.42,1861.7,1080.1,25.4,75.3,8.1,0
8,3,6,7,2,3,7,8,3,4,7,3,4,10,4,4,7,6,10,8,0.57,2736.2,1579.4,24.5,85.8,6.3,1
5,4,6,5,9,6,3,9,8,7,5,7,6,9,2,4,3,3,5,4,0.55,2144.5,1216.3,29.5,69.6,6.4,1
8,6,6,6,8,1,3,2,4,4,4,4,1,4,6,8,4,6,3,5,0.465,2605.9,1549.8,25.3,85.8,7.3,0
5,1,9,7,11,3,3,5,3,9,7,5,4,7,9,4,3,6,6,3,0.55,2012.7,1114.5,28.3,77.3,7.4,1
3,8,7,6,5,7,1,3,6,4,8,6,3,1,5,5,3,5,7,7,0.5,1720.5,960.8,29.3,61.8,8.1,1
3,3,7,1,6,4,3,,8,2,4,3,4,6,3,4,2,8,3,6,0.43,1576.7,886,26.9,67.4,7.7,0
5,6,10,7,7,5,4,12,6,7,2,2,2,2,11,6,4,2,3,4,0.535,2105.1,1227.8,27.5,71.7,7.9,1
8,1,7,5,3,6,2,1,3,2,4,8,3,9,4,4,6,2,10,9,0.485,2782.7,1589.4,26.6,80.9,5.7,0
8,5,7,4,6,7,5,6,2,1,6,3,4,5,5,9,4,6,9,4,0.53,2749.1,1534.7,29.3,90.7,5.6,1
2,5,6,4,3,,3,5,6,4,4,3,4,8,4,3,6,4,6,3,0.45,1473,847.3,29,57.6,8.4,0
6,6,4,6,8,6,3,4,1,4,6,5,5,7,5,12,4,1,5,5,0.515,2395.8,1394.5,30.4,64.1,7.3,1
5,6,4,2,3,6,5,7,5,8,8,5,7,11,6,3,4,5,6,1,0.535,2125.4,1243.3,26.9,75.6,7.2,1
7,5,7,3,3,6,6,3,6,5,6,3,4,8,8,5,12,3,1,0,0.505,2582.3,1461.5,26.8,78.7,6.4,1
4,3,6,4,7,12,4,6,2,5,9,8,7,6,3,1,4,8,3,7,0.545,2137.3,1256.6,32.9,70.4,6.1,1
6,7,1,5,5,2,3,4,4,2,3,5,6,1,5,5,4,4,7,6,0.425,2198.6,1209.6,23.7,73.7,7.8,0
6,7,2,3,4,3,4,1,6,5,9,1,4,8,5,7,4,4,3,9,0.475,2207.9,1312.2,26.6,79.2,7.4,0
6,4,3,7,2,3,4,7,3,5,6,5,7,2,8,4,6,3,3,4,0.46,2212.2,1284.9,23.3,77.4,7.3,0
5,4,1,3,1,7,5,6,3,4,5,7,4,7,2,6,8,4,11,8,0.505,2156.3,1266.6,27,74.9,7.6,1
5,5,5,6,5,2,10,3,6,3,6,6,3,5,4,3,3,7,7,7,0.505,1977.9,1116.9,23.9,75.9,7.8,1
5,7,11,2,6,3,5,5,4,2,3,6,1,10,6,7,5,3,3,9,0.515,2030.6,1139.7,25,65.9,7.9,1
8,11,2,9,4,5,7,3,6,4,12,3,3,7,6,6,4,8,5,4,0.585,2782,1638.7,26.5,93.9,6.1,1
1,4,6,7,1,6,5,7,3,6,6,3,7,5,7,4,7,2,6,2,0.475,1247.1,720.2,28.2,56.1,9.2,0
5,5,6,4,,7,5,3,6,2,3,3,10,3,4,4,4,1,4,9,0.475,2195.6,1268.5,29.2,59.3,6.7,0
8,5,8,3,5,3,6,8,3,4,3,5,4,12,5,6,7,5,5,2,0.535,2620.6,4898.16,25.9,85.6,6.6,1
1,4,4,5,2,3,4,6,6,5,4,5,7,3,5,3,5,11,6,3,0.46,1197.1,714.2,24.3,72.7,9.8,0
2,7,5,4,8,2,6,7,4,8,6,10,8,10,3,5,4,3,4,5,0.555,1310.4,743.4,25.8,54.5,9.7,1
9,4,3,7,6,5,3,4,5,5,6,6,5,10,3,7,7,7,3,4,0.545,2966.3,1777.5,26.4,88.1,5.4,1
4,5,1,6,5,8,2,2,2,5,7,2,3,3,7,11,6,5,5,4,0.465,1991,1188.3,30.3,69.3,7.1,0
4,6,9,6,8,4,5,2,5,4,7,8,2,5,5,7,4,3,7,3,0.52,1867.6,1068.5,27.4,66.1,8.1,1
6,6,1,5,7,3,5,2,10,2,7,6,4,8,3,2,8,5,7,8,0.525,2239.3,1306.7,25.1,76.3,7.4,1
5,1,4,4,9,4,9,2,8,7,3,5,8,8,6,1,3,5,7,3,0.51,2047.5,1187.9,27.6,76.3,7,1
6,5,7,2,6,7,4,5,,9,6,2,4,3,10,5,9,8,5,1,0.53,2359.6,1362,30.2,79.3,6.7,1
6,10,2,5,4,4,5,5,5,0,5,6,6,4,6,10,5,4,8,8,0.54,2326.1,1358,25.6,76.8,7.6,1
6,5,6,8,4,5,7,7,6,3,3,6,6,6,5,5,2,4,8,6,0.54,2287.1,1326.6,26.6,81.2,6,1
7,2,6,5,4,6,2,9,4,8,3,4,11,2,3,4,4,2,5,6,0.485,2552.5,1459.5,27.9,72.1,5.4,0
8,9,3,1,2,3,7,4,,1,5,7,6,5,4,7,3,3,7,9,0.5,2614.2,1460.9,23.1,77.5,7,1
4,3,6,3,7,5,7,3,5,2,6,4,6,7,5,1,3,6,6,7,0.48,1849.6,1096.4,27.7,70.2,7.6,0
2,4,3,4,6,9,2,4,6,11,8,6,2,4,6,7,5,8,2,4,0.515,1607.3,948.7,31.2,64.5,8.9,1
9,4,4,6,7,5,1,3,6,4,5,7,8,4,5,5,8,4,1,1,0.485,2946.5,1715,26,84.9,5.5,0
5,9,2,4,4,9,5,6,10,6,5,6,6,5,1,4,4,2,4,5,0.51,2226.3,1317.7,30,65.4,7.5,1
3,5,5,6,3,5,3,2,11,5,4,2,4,5,2,3,8,7,4,1,0.44,1629.7,963.2,27.7,67.7,7.9,0
3,4,7,3,3,4,7,9,2,0,2,5,4,3,4,6,6,5,1,7,0.425,1596.1,927.7,25.7,65.1,7.9,0
5,7,10,,8,3,5,7,7,5,3,5,4,4,4,5,5,4,4,6,0.525,2014.6,1136.9,26.4,77,8.2,1
6,0,7,3,7,8,3,1,4,10,2,7,6,2,3,4,3,4,6,2,0.44,2354.4,1358.9,30.1,77.2,6.1,0
3,5,3,5,8,4,5,6,6,5,3,7,7,4,7,9,4,6,3,8,0.54,1610.7,879,27.6,63.6,8.4,1
2,,2,1,5,4,7,9,2,7,9,1,2,5,5,5,4,3,6,3,0.445,1465,841.3,27.9,58.2,9,0
5,7,6,7,7,3,2,2,9,8,3,6,2,6,2,5,7,4,3,5,0.495,1990.2,1148.2,27.8,68.7,7.2,0
3,2,9,2,5,3,7,5,5,6,2,5,3,1,6,6,5,4,8,4,0.455,1545.8,958.7,25.6,66.6,8.6,0
6,5,1,6,5,8,6,5,1,6,3,5,3,5,5,4,7,6,9,3,0.495,2321.4,1383,29.4,76.7,6.6,0
2,8,3,6,7,3,0,3,8,5,8,4,3,7,6,8,6,9,4,7,0.535,1257.5,746.2,27.1,67,9.2,1
6,5,7,8,6,5,7,4,5,3,5,3,4,4,9,2,6,5,3,6,0.515,2270.2,1328.9,26.5,74,6.6,1
5,5,3,4,1,10,6,7,5,5,5,4,4,0,2,6,5,3,2,7,0.445,2275.2,1316.6,30.4,68.7,7.1,0
8,10,5,5,3,4,2,4,8,5,11,7,4,7,3,10,6,5,5,5,0.585,2659,1608,25.3,80.1,6.5,1
4,3,6,2,6,8,5,9,4,4,5,6,6,4,4,5,5,4,3,6,0.495,1918,1102.4,29.4,68.8,7.4,0
4,6,5,8,4,5,4,6,3,5,6,4,7,6,7,6,6,10,4,6,0.56,1855.4,1049.1,28,77.6,7.8,1
4,5,3,3,10,2,2,4,5,13,4,3,6,12,8,6,7,6,2,4,0.545,1813,1053.2,27.4,70.7,7.4,1
4,8,4,4,3,4,3,3,6,8,7,2,3,7,3,1,4,5,7,8,0.47,1794,1089.3,24.7,69.9,8.2,0
6,5,4,8,5,5,2,10,6,4,5,4,4,2,2,6,4,8,4,6,0.5,2241.6,1345.3,28,75,7,1
4,3,6,6,2,5,3,1,6,8,4,6,14,1,6,1,5,3,6,5,0.475,1869.4,1055.6,25.3,69.8,6.9,0
7,2,3,1,3,1,7,4,4,5,4,1,6,1,4,3,8,5,2,4,0.375,2352.1,1340.1,23.3,76.7,6.9,0
5,6,2,3,5,6,7,7,,7,4,9,4,5,4,6,2,8,5,7,0.53,2149.7,1238.7,27.9,71.4,7.6,1
6,10,4,3,1,5,6,2,,7,3,6,6,5,6,5,5,2,1,2,0.435,2327.1,1373.7,25.3,73.3,7.1,0
3,5,5,5,4,5,7,3,4,10,5,6,4,6,5,3,4,3,6,4,0.485,1619.4,925.9,27.6,65.2,8.1,0
9,6,1,5,6,2,5,8,9,5,10,4,5,4,5,3,3,4,5,5,0.52,2907,1718,24.5,92.7,6.1,1
